epoch,n_mAP,n_mAP95,s_mAP,s_mAP95,m_mAP,m_mAP95,l_mAP,l_mAP95,x_mAP,x_mAP95
91,0.9633,0.7567,0.95597,0.78326,0.95764,0.8166,0.9559,0.82324,0.95988,0.84012
92,0.95816,0.75739,0.95554,0.79215,0.96301,0.81615,0.95844,0.82723,0.96739,0.84912
93,0.96608,0.75445,0.95881,0.78894,0.9629,0.82011,0.96166,0.8328,0.96963,0.85007
94,0.96283,0.75786,0.95816,0.77892,0.95619,0.81964,0.96552,0.83977,0.96138,0.84231
95,0.9689,0.75693,0.96216,0.7913,0.95867,0.81752,0.9618,0.82558,0.96558,0.84527
96,0.96074,0.74785,0.9541,0.78182,0.95979,0.81433,0.96034,0.82005,0.96109,0.83148
97,0.96247,0.7477,0.95198,0.77862,0.95693,0.82265,0.95982,0.82589,0.96587,0.84397
98,0.96257,0.74663,0.95888,0.77886,0.95845,0.81626,0.9576,0.8216,0.96926,0.84123
99,0.9633,0.7609,0.95782,0.77474,0.95616,0.82681,0.96156,0.81801,0.96478,0.84023
100,0.9647,0.76219,0.9565,0.78067,0.95615,0.81835,0.968,0.82903,0.96104,0.83078
101,0.96497,0.7662,0.96584,0.77587,0.96215,0.82878,0.9649,0.8253,0.96847,0.83664
102,0.96214,0.75608,0.95799,0.78596,0.96367,0.81861,0.95727,0.82475,0.96044,0.82697
103,0.96315,0.76813,0.95214,0.785,0.95021,0.80934,0.96258,0.83001,0.95981,0.8246
104,0.95981,0.74854,0.95107,0.78372,0.96264,0.81726,0.9588,0.83033,0.96059,0.83524
105,0.96257,0.75598,0.95713,0.78464,0.95906,0.82666,0.9658,0.83597,0.95988,0.84091
106,0.96126,0.75131,0.95865,0.78496,0.96076,0.83075,0.96778,0.83701,0.97216,0.84725
107,0.96251,0.75079,0.96009,0.7909,0.95553,0.81959,0.96707,0.83579,0.96472,0.84666
108,0.96587,0.74384,0.95779,0.78284,0.95419,0.81544,0.96756,0.83862,0.96301,0.8471
109,0.95525,0.74122,0.9554,0.78822,0.96058,0.82368,0.96195,0.82219,0.96073,0.84183
110,0.96728,0.75904,0.94964,0.77605,0.95735,0.82364,0.95965,0.82707,0.9634,0.84024
111,0.96547,0.75357,0.95366,0.78257,0.96418,0.82641,0.96776,0.83622,0.9588,0.83287
112,0.96418,0.75941,0.95568,0.7849,0.95975,0.8244,0.9618,0.83465,0.96451,0.84264
113,0.96106,0.75122,0.95221,0.77412,0.9615,0.82493,0.96082,0.82507,0.96494,0.84678
114,0.96155,0.75292,0.95371,0.78057,0.96702,0.8281,0.9656,0.83137,0.96592,0.84393
115,0.96328,0.7566,0.95249,0.78522,0.96342,0.82577,0.97136,0.83803,0.96541,0.84558
116,0.95879,0.75995,0.94746,0.77943,0.97066,0.83678,0.96455,0.82986,0.96562,0.84826
117,0.96199,0.75378,0.95616,0.78742,0.96644,0.82797,0.96875,0.82997,0.96881,0.84311
118,0.96328,0.75825,0.95537,0.78104,0.96693,0.83581,0.9682,0.83648,0.96823,0.85353
119,0.96613,0.75564,0.95365,0.77864,0.96992,0.83427,0.96397,0.82956,0.96398,0.84197
120,0.97128,0.76315,0.95538,0.79061,0.96489,0.82807,0.96565,0.8334,0.96863,0.84972
121,0.96626,0.75726,0.95792,0.78604,0.95514,0.81828,0.95831,0.83227,0.97069,0.85631
122,0.96635,0.76189,0.94991,0.78015,0.96002,0.82596,0.9633,0.83194,0.96929,0.85801
123,0.95839,0.74665,0.95325,0.77308,0.95991,0.83269,0.9615,0.83472,0.96732,0.85452
124,0.9581,0.74779,0.96277,0.7806,0.95805,0.82271,0.96224,0.83605,0.96276,0.84328
125,0.95554,0.73225,0.9579,0.78552,0.95786,0.81847,0.96349,0.84241,0.96382,0.85337
126,0.95654,0.7449,0.95076,0.78,0.96211,0.81661,0.95963,0.83279,0.97093,0.85588
127,0.96002,0.75298,0.94887,0.77955,0.96212,0.83184,0.96075,0.83289,0.97256,0.85297
128,0.9578,0.75801,0.95472,0.78093,0.9648,0.83635,0.96014,0.83012,0.97211,0.85125
129,0.95313,0.74969,0.94847,0.77836,0.96737,0.83369,0.96499,0.82987,0.97107,0.84309
130,0.95842,0.74863,0.95193,0.77922,0.96394,0.83155,0.96454,0.82416,0.97228,0.84774
131,0.96282,0.75164,0.95474,0.77576,0.96524,0.83928,0.9597,0.83028,0.97127,0.85419
132,0.96014,0.75076,0.95918,0.78707,0.96541,0.84581,0.95752,0.8259,0.97236,0.85935
133,0.96326,0.75504,0.9584,0.78392,0.97214,0.8454,0.96098,0.83651,0.97021,0.85329
134,0.96408,0.75827,0.96396,0.78456,0.96659,0.83303,0.9538,0.82531,0.97102,0.85211
135,0.96071,0.75397,0.95327,0.7811,0.96572,0.83836,0.96155,0.83621,0.96885,0.85367
136,0.95458,0.75009,0.95144,0.78196,0.96827,0.84238,0.95424,0.82952,0.96021,0.85248
137,0.9601,0.75189,0.94037,0.76658,0.97094,0.84146,0.95218,0.82755,0.96939,0.86328
138,0.95797,0.75005,0.94662,0.77191,0.96284,0.83271,0.95539,0.83686,0.96185,0.85353
139,0.95879,0.74974,0.9474,0.7711,0.9617,0.83643,0.95531,0.83875,0.96348,0.86379
140,0.96115,0.75163,0.94529,0.77733,0.9638,0.83902,0.95381,0.83741,0.95896,0.85131
141,0.96717,0.76182,0.95127,0.78454,0.9671,0.83285,0.95396,0.83874,0.9527,0.84199
142,0.96365,0.75682,0.95959,0.7931,0.96581,0.83923,0.9616,0.84579,0.96113,0.85469
143,0.96358,0.76303,0.95712,0.78911,0.96069,0.8355,0.95977,0.84495,0.96839,0.86319
144,0.95973,0.75411,0.95751,0.78511,0.96112,0.83242,0.95133,0.84032,0.96507,0.85561
145,0.96283,0.75518,0.95769,0.78661,0.96221,0.84223,0.95839,0.83973,0.96369,0.85161
146,0.96611,0.76208,0.95411,0.77861,0.95822,0.84032,0.95149,0.83003,0.95916,0.85161
147,0.96532,0.75451,0.95562,0.78176,0.96056,0.84604,0.95552,0.83906,0.95565,0.8467
148,0.96709,0.75781,0.95513,0.78453,0.95676,0.83236,0.95758,0.83605,0.95968,0.84518
149,0.96576,0.76568,0.95127,0.78566,0.96012,0.83573,0.95176,0.82807,0.95988,0.84729
150,0.96594,0.76613,0.95103,0.7825,0.96129,0.84082,0.94906,0.82111,0.96547,0.8498
151,0.95878,0.75776,0.95152,0.78282,0.95585,0.82591,0.9545,0.82644,0.96688,0.8542
152,0.96405,0.7587,0.95714,0.77985,0.96153,0.84028,0.95728,0.83365,0.96739,0.8555
153,0.9627,0.75234,0.9486,0.7724,0.96679,0.83983,0.95366,0.82051,0.96909,0.86349
154,0.9637,0.75383,0.95509,0.78629,0.95813,0.82996,0.95725,0.83553,0.97162,0.8541
155,0.96314,0.75949,0.95356,0.77558,0.95743,0.8399,0.95459,0.83346,0.96786,0.85745
156,0.97169,0.76328,0.9586,0.7775,0.95523,0.84015,0.95369,0.83861,0.96711,0.86171
157,0.9629,0.74679,0.95208,0.77035,0.96128,0.84274,0.95578,0.83509,0.96502,0.85357
158,0.96407,0.75453,0.95729,0.78539,0.96264,0.84263,0.96063,0.84439,0.96848,0.86207
159,0.97425,0.76566,0.95053,0.7775,0.96527,0.83697,0.95674,0.84281,0.96419,0.86223
160,0.97268,0.76291,0.94646,0.7742,0.96846,0.83675,0.95918,0.85199,0.96318,0.859
161,0.96401,0.75522,0.94753,0.77683,0.96474,0.83848,0.95668,0.84131,0.96389,0.84815
162,0.96537,0.76489,0.94894,0.77905,0.96824,0.84324,0.95614,0.84806,0.95913,0.84904
163,0.95794,0.75912,0.94385,0.77252,0.96637,0.83389,0.95383,0.84108,0.9648,0.85226
164,0.96111,0.75657,0.94784,0.77477,0.9656,0.84132,0.95172,0.83522,0.96496,0.85632
165,0.967,0.75441,0.93682,0.77715,0.965,0.84009,0.95224,0.83226,0.97,0.86454
166,0.96463,0.7573,0.95082,0.78368,0.96221,0.8333,0.95186,0.83681,0.96993,0.85911
167,0.96051,0.75562,0.95648,0.78072,0.95935,0.82847,0.95274,0.83473,0.96871,0.86147
168,0.96563,0.75508,0.95388,0.78164,0.95819,0.83049,0.95078,0.83657,0.97199,0.86629
169,0.96151,0.75885,0.9514,0.78419,0.96598,0.83857,0.9553,0.83463,0.9661,0.85272
170,0.95768,0.75554,0.95666,0.7839,0.96433,0.83217,0.9544,0.82918,0.96891,0.85747
171,0.96297,0.75485,0.95435,0.77879,0.96691,0.83397,0.957,0.83877,0.97042,0.86458
172,0.95859,0.75781,0.9563,0.79311,0.96827,0.83819,0.95927,0.84981,0.9681,0.8556
173,0.96172,0.76132,0.95969,0.79606,0.96907,0.83554,0.94779,0.83846,0.96268,0.85611
174,0.96191,0.76118,0.95612,0.78999,0.96596,0.83859,0.953,0.84266,0.96288,0.85774
175,0.96286,0.76246,0.95879,0.78741,0.96393,0.84146,0.9577,0.84089,0.96798,0.8634
176,0.96702,0.75685,0.9521,0.77869,0.96836,0.83789,0.95406,0.8441,0.96947,0.86251
177,0.9659,0.75643,0.96027,0.78734,0.96632,0.83863,0.95102,0.84035,0.96709,0.86602
178,0.96853,0.76294,0.95994,0.78249,0.97291,0.83967,0.95393,0.84362,0.96661,0.85711
179,0.96289,0.76652,0.95725,0.79097,0.97229,0.84452,0.94613,0.83695,0.96676,0.85984
180,0.96522,0.7673,0.95797,0.7914,0.96643,0.8385,0.95166,0.83007,0.95857,0.85185
181,0.95748,0.76046,0.95856,0.78983,0.96572,0.84565,0.94787,0.8381,0.96554,0.85508
182,0.95904,0.75969,0.95685,0.78574,0.96902,0.84898,0.95918,0.84389,0.96253,0.85745
183,0.95991,0.758,0.95944,0.78992,0.9691,0.8519,0.9606,0.84393,0.9623,0.86292
184,0.96795,0.75802,0.95963,0.78297,0.96083,0.84771,0.95137,0.8388,0.96507,0.86564
185,0.96677,0.75617,0.95797,0.77832,0.96225,0.84573,0.95857,0.84455,0.96685,0.86589
186,0.96859,0.76142,0.95465,0.78582,0.96068,0.83967,0.96056,0.84051,0.9692,0.86458
187,0.96365,0.75033,0.96349,0.79149,0.96007,0.841,0.9587,0.84502,0.96696,0.8685
188,0.9591,0.7532,0.96165,0.79022,0.96475,0.83712,0.95443,0.83847,0.96808,0.86574
189,0.95848,0.76081,0.96144,0.79028,0.9598,0.83747,0.95382,0.83876,0.96801,0.86679
190,0.95872,0.76019,0.95696,0.78912,0.95791,0.8315,0.95531,0.8461,0.9713,0.87188
191,0.96345,0.76532,0.95738,0.78277,0.96338,0.83692,0.95226,0.83889,0.96555,0.86791
192,0.96358,0.77105,0.95657,0.78992,0.96622,0.8437,0.94737,0.83977,0.9613,0.86474
193,0.96793,0.77039,0.96093,0.79442,0.96326,0.84329,0.95337,0.8452,0.96322,0.86253
194,0.9659,0.76524,0.96023,0.79714,0.9585,0.83447,0.94347,0.83759,0.95808,0.86064
195,0.96771,0.76751,0.95918,0.78738,0.96097,0.84276,0.94181,0.8322,0.96164,0.8534
196,0.96461,0.77045,0.96375,0.79222,0.96276,0.84411,0.94388,0.83713,0.96241,0.86111
197,0.96494,0.76359,0.95869,0.78759,0.96437,0.83949,0.94415,0.83276,0.96822,0.86011
198,0.9651,0.76971,0.95698,0.79637,0.96634,0.84617,0.94974,0.83866,0.96782,0.86919
199,0.95925,0.76355,0.95708,0.79056,0.96498,0.84092,0.94628,0.83669,0.96307,0.86075
200,0.96202,0.76657,0.95236,0.79822,0.96572,0.84603,0.94388,0.82941,0.9621,0.86455
201,0.96134,0.75572,0.95526,0.79438,0.96661,0.84542,0.9438,0.83022,0.96645,0.87088
