epoch,n_box,n_dfl,s_box,s_dfl,m_box,m_dfl,l_box,l_dfl,x_box,x_dfl
123,0.84397,0.97012,0.66429,0.91297,0.54425,0.89257,0.48818,0.88465,0.46171,0.87971
124,0.84203,0.96586,0.66688,0.91165,0.55297,0.89223,0.48984,0.88692,0.45826,0.87325
125,0.83219,0.96545,0.65429,0.90861,0.55423,0.89935,0.48367,0.88643,0.46159,0.87852
126,0.82832,0.96437,0.65115,0.90687,0.52829,0.88089,0.47168,0.8752,0.44048,0.8663
127,0.84029,0.97345,0.6496,0.90595,0.53259,0.88731,0.46657,0.87524,0.43966,0.86836
128,0.8231,0.96559,0.64828,0.90784,0.53901,0.88029,0.47357,0.8714,0.44598,0.86811
129,0.84664,0.97578,0.66104,0.91625,0.53203,0.87806,0.4716,0.87247,0.44496,0.86902
130,0.82798,0.96227,0.64781,0.90237,0.52408,0.87352,0.46066,0.8653,0.42865,0.86142
131,0.83179,0.96195,0.64586,0.90457,0.52569,0.87535,0.469,0.86586,0.43586,0.86359
132,0.83124,0.96646,0.65136,0.90885,0.52632,0.88066,0.46319,0.87166,0.44064,0.86463
133,0.81859,0.96346,0.63301,0.90208,0.52926,0.88004,0.47114,0.87591,0.43654,0.86326
134,0.80748,0.95976,0.62418,0.89796,0.5322,0.88355,0.46807,0.87238,0.4421,0.86784
135,0.81104,0.95837,0.62768,0.9009,0.52705,0.88318,0.45765,0.87405,0.43114,0.86322
136,0.83674,0.9774,0.65895,0.91578,0.51822,0.87876,0.45634,0.87025,0.43254,0.85954
137,0.82435,0.96162,0.64129,0.90211,0.52508,0.87875,0.45625,0.87132,0.43575,0.86492
138,0.82082,0.95376,0.63504,0.8941,0.51325,0.87412,0.44827,0.8666,0.42699,0.8574
139,0.82056,0.96551,0.64357,0.9111,0.51755,0.87459,0.45708,0.86839,0.42762,0.85858
140,0.81806,0.96006,0.64187,0.90452,0.51386,0.87923,0.45989,0.87553,0.4282,0.86403
